Gene ID	source_id
LmxM.34.3760	LmxM.34.3760.1
LmxM.34.3780	LmxM.34.3780.1
LmxM.34.3790	LmxM.34.3790.1
LmxM.34.3800	LmxM.34.3800.1
LmxM.34.3850	LmxM.34.3850.1
LmxM.34.5100	LmxM.34.5100.1
LmxM.36.0600	LmxM.36.0600.1
LmxM.36.0930	LmxM.36.0930.1
LmxM.36.0940	LmxM.36.0940.1
LmxM.36.0980	LmxM.36.0980.1
LmxM.36.0990	LmxM.36.0990.1
LmxM.36.1070	LmxM.36.1070.1
LmxM.36.1100	LmxM.36.1100.1
LmxM.36.1250	LmxM.36.1250.1
LmxM.36.1860	LmxM.36.1860.1
LmxM.36.1925	LmxM.36.1925.1
LmxM.36.2860	LmxM.36.2860.1
LmxM.36.2870	LmxM.36.2870.1
LmxM.36.3270	LmxM.36.3270.1
LmxM.36.3390	LmxM.36.3390.1
LmxM.36.3400	LmxM.36.3400.1
LmxM.36.3740	LmxM.36.3740.1
LmxM.36.3750	LmxM.36.3750.1
LmxM.36.3760	LmxM.36.3760.1
LmxM.36.4420	LmxM.36.4420.1
LmxM.36.4510	LmxM.36.4510.1
LmxM.36.4650	LmxM.36.4650.1
LmxM.36.5010	LmxM.36.5010.1
LmxM.36.5120	LmxM.36.5120.1
LmxM.36.6400	LmxM.36.6400.1
LmxM.36.6920	LmxM.36.6920.1
