geneid,term,,,,,,,,,,,,
C4B63_99g86,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g87,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g88,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g90,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g92,cortical cytoskeleton,,,,,,,,,,,,
C4B63_99g93,cortical cytoskeleton,,,,,,,,,,,,
C4B63_47g23,endoplasmic reticulum,,,,,,,,,,,,
C4B63_135g21,endoplasmic reticulum,,,,,,,,,,,,
C4B63_104g78,endoplasmic reticulum,,,,,,,,,,,,
C4B63_255g21,endoplasmic reticulum,,,,,,,,,,,,
C4B63_10g305,proteasome,,,,,,,,,,,,
C4B63_10g510,proteasome,,,,,,,,,,,,
C4B63_10g511,proteasome,,,,,,,,,,,,
C4B63_112g19,proteasome,,,,,,,,,,,,
C4B63_122g21,proteasome,,,,,,,,,,,,
C4B63_12g396,proteasome,,,,,,,,,,,,
C4B63_13g138,proteasome,,,,,,,,,,,,
C4B63_13g211,proteasome,,,,,,,,,,,,
C4B63_14g170,proteasome,,,,,,,,,,,,
C4B63_14g52,proteasome,,,,,,,,,,,,
C4B63_17g111,proteasome,,,,,,,,,,,,
C4B63_18g138,proteasome,,,,,,,,,,,,
C4B63_202g4,proteasome,,,,,,,,,,,,
C4B63_234g11,proteasome,,,,,,,,,,,,
C4B63_23g31,proteasome,,,,,,,,,,,,
C4B63_25g312,proteasome,,,,,,,,,,,,
C4B63_27g180,proteasome,,,,,,,,,,,,
C4B63_27g4,proteasome,,,,,,,,,,,,
C4B63_28g122,proteasome,,,,,,,,,,,,
C4B63_28g57,proteasome,,,,,,,,,,,,
C4B63_2g1132c,proteasome,,,,,,,,,,,,
C4B63_2g302,proteasome,,,,,,,,,,,,
C4B63_2g527,proteasome,,,,,,,,,,,,
C4B63_2g692,proteasome,,,,,,,,,,,,
C4B63_34g309,proteasome,,,,,,,,,,,,
C4B63_35g173,proteasome,,,,,,,,,,,,
C4B63_40g46,proteasome,,,,,,,,,,,,
C4B63_43g129,proteasome,,,,,,,,,,,,
C4B63_43g135,proteasome,,,,,,,,,,,,
C4B63_46g106,proteasome,,,,,,,,,,,,
C4B63_47g88,proteasome,,,,,,,,,,,,
C4B63_48g131,proteasome,,,,,,,,,,,,
C4B63_48g135,proteasome,,,,,,,,,,,,
C4B63_4g525,proteasome,,,,,,,,,,,,
C4B63_4g528,proteasome,,,,,,,,,,,,
C4B63_4g92,proteasome,,,,,,,,,,,,
C4B63_54g62,proteasome,,,,,,,,,,,,
C4B63_6g421,proteasome,,,,,,,,,,,,
C4B63_6g586,proteasome,,,,,,,,,,,,
C4B63_70g80,proteasome,,,,,,,,,,,,
C4B63_76g37,proteasome,,,,,,,,,,,,
C4B63_76g43,proteasome,,,,,,,,,,,,
C4B63_78g11,proteasome,,,,,,,,,,,,
C4B63_78g13,proteasome,,,,,,,,,,,,
C4B63_78g44,proteasome,,,,,,,,,,,,
C4B63_79g26,proteasome,,,,,,,,,,,,
C4B63_7g423,proteasome,,,,,,,,,,,,
C4B63_80g34,proteasome,,,,,,,,,,,,
C4B63_83g29,proteasome,,,,,,,,,,,,
C4B63_89g44,proteasome,,,,,,,,,,,,
C4B63_89g62,proteasome,,,,,,,,,,,,
