geneid,term,,,,,,,,,,,,
TcCLB.509109.130,reservosome,,,,,,,,,,,,
TcCLB.508153.400,reservosome,,,,,,,,,,,,
TcCLB.504029.80,reservosome,,,,,,,,,,,,
TcCLB.508965.60,reservosome,,,,,,,,,,,,
TcCLB.504013.60,reservosome,,,,,,,,,,,,
TcCLB.504929.10,reservosome,,,,,,,,,,,,
TcCLB.511211.120,reservosome,,,,,,,,,,,,
TcCLB.506563.40,reservosome,,,,,,,,,,,,
TcCLB.411235.9,reservosome,,,,,,,,,,,,
TcCLB.510571.30,reservosome,,,,,,,,,,,,
TcCLB.504125.60,reservosome,,,,,,,,,,,,
TcCLB.508555.60,reservosome,,,,,,,,,,,,
TcCLB.510145.20,reservosome,,,,,,,,,,,,
TcCLB.508323.100,reservosome,,,,,,,,,,,,
TcCLB.487507.10,reservosome,,,,,,,,,,,,
TcCLB.506457.40,reservosome,,,,,,,,,,,,
TcCLB.506789.280,reservosome,,,,,,,,,,,,
TcCLB.510663.70,reservosome,,,,,,,,,,,,
TcCLB.507611.370,reservosome,,,,,,,,,,,,
TcCLB.507875.20,reservosome,,,,,,,,,,,,
TcCLB.507547.90,reservosome,,,,,,,,,,,,
TcCLB.506943.50,reservosome,,,,,,,,,,,,
TcCLB.503849.60,reservosome,,,,,,,,,,,,
TcCLB.508461.570,reservosome,,,,,,,,,,,,
TcCLB.511293.69,reservosome,,,,,,,,,,,,
TcCLB.504163.40,reservosome,,,,,,,,,,,,
TcCLB.506529.508,reservosome,,,,,,,,,,,,
TcCLB.508153.340,reservosome,,,,,,,,,,,,
TcCLB.507029.30,reservosome,,,,,,,,,,,,
TcCLB.507883.109,reservosome,,,,,,,,,,,,
TcCLB.511181.50,reservosome,,,,,,,,,,,,
TcCLB.510091.80,reservosome,,,,,,,,,,,,
TcCLB.507767.10,reservosome,,,,,,,,,,,,
TcCLB.509053.70,reservosome,,,,,,,,,,,,
TcCLB.511289.70,reservosome,,,,,,,,,,,,
TcCLB.506755.260,reservosome,,,,,,,,,,,,
TcCLB.511867.140,reservosome,,,,,,,,,,,,
TcCLB.507927.20,reservosome,,,,,,,,,,,,
TcCLB.506945.240,reservosome,,,,,,,,,,,,
TcCLB.509063.30,reservosome,,,,,,,,,,,,
TcCLB.507681.20,reservosome,,,,,,,,,,,,
TcCLB.506155.60,reservosome,,,,,,,,,,,,
TcCLB.506211.160,reservosome,,,,,,,,,,,,
TcCLB.506585.40,reservosome,,,,,,,,,,,,
TcCLB.509011.40,reservosome,,,,,,,,,,,,
TcCLB.509391.30,reservosome,,,,,,,,,,,,
TcCLB.505183.30,reservosome,,,,,,,,,,,,
TcCLB.506925.300,reservosome,,,,,,,,,,,,
TcCLB.508041.10,reservosome,,,,,,,,,,,,
TcCLB.508323.60,reservosome,,,,,,,,,,,,
TcCLB.511407.60,reservosome,,,,,,,,,,,,
C4B63_7g369,contractile vacuole,,,,,,,,,,,,
C4B63_44g146,contractile vacuole,,,,,,,,,,,,
TcCLB.506025.50,contractile vacuole,,,,,,,,,,,,
TcCLB.509601.70,contractile vacuole,,,,,,,,,,,,
TcCLB.509017.30,contractile vacuole,,,,,,,,,,,,
TcCLB.510993.10,contractile vacuole,,,,,,,,,,,,
TcCLB.510773.20,contractile vacuole,,,,,,,,,,,,
TcCLB.504159.50,contractile vacuole,,,,,,,,,,,,
TcCLB.504213.110,contractile vacuole,,,,,,,,,,,,
TcCLB.509551.20,contractile vacuole,,,,,,,,,,,,
TcCLB.508831.60,contractile vacuole,,,,,,,,,,,,
TcCLB.504105.130,contractile vacuole,,,,,,,,,,,,
TcCLB.509461.90,contractile vacuole,,,,,,,,,,,,
TcCLB.504171.40,contractile vacuole,,,,,,,,,,,,
TcCLB.506167.50,contractile vacuole,,,,,,,,,,,,
TcCLB.507625.183,contractile vacuole,,,,,,,,,,,,
TcCLB.506715.50,contractile vacuole,,,,,,,,,,,,
TcCLB.511407.60,contractile vacuole,,,,,,,,,,,,
TcCLB.506289.80,contractile vacuole,,,,,,,,,,,,
TcCLB.511627.60,contractile vacuole,,,,,,,,,,,,
TcCLB.503449.30,contractile vacuole,,,,,,,,,,,,
TcCLB.511159.7,contractile vacuole,,,,,,,,,,,,
TcCLB.508723.80,contractile vacuole,,,,,,,,,,,,
TcCLB.509805.40,contractile vacuole,,,,,,,,,,,,
TcCLB.503455.30,contractile vacuole,,,,,,,,,,,,
TcCLB.506697.20,contractile vacuole,,,,,,,,,,,,
TcCLB.507483.39,contractile vacuole,,,,,,,,,,,,
TcCLB.511527.70,contractile vacuole,,,,,,,,,,,,
TcCLB.507739.110,contractile vacuole,,,,,,,,,,,,
TcCLB.507641.190,nucleus,,,,,,,,,,,,
TcCLB.510285.70,nucleus,,,,,,,,,,,,
TcCLB.508461.230,nucleus,,,,,,,,,,,,
TcCLB.511575.70,nucleus,,,,,,,,,,,,
TcCLB.507603.70,nucleus,,,,,,,,,,,,
TcCLB.506925.490,nucleus,,,,,,,,,,,,
TcCLB.510593.40,nucleus,,,,,,,,,,,,
TcCLB.506401.160,nucleus,,,,,,,,,,,,
TcCLB.511127.320,nucleus,,,,,,,,,,,,
TcCLB.506683.30,nucleus,,,,,,,,,,,,
TcCLB.505071.50,nucleus,,,,,,,,,,,,
TcCLB.507817.30,nucleus,,,,,,,,,,,,
TcCLB.509537.40,nucleus,,,,,,,,,,,,
TcCLB.507029.50,nucleus,,,,,,,,,,,,
